transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,dataset_source
T3041,U018,2021-07-11,0,127,2966.0,42,1,,primary
T7693,U116,2021-04-16,0,42,1004.0,18,6,,primary
T0071,U078,2024-04-26,0,127,6141.0,42,9,,primary
T12197,U026,2021-04-16,0,175,9154.0,38,3,,primary
T8563,U080,2021-04-16,0,175,9705.0,42,10,,primary
T6626,U049,2022-08-14,0,67,2637.0,42,5,,primary
T7302,U102,2021-04-16,0,67,1073.0,38,7,,primary
T6588,U125,2021-04-16,0,67,425.0,18,5,,primary
T3552,U095,2024-01-21,1,11,34145.0,18,4,,primary
T1620,U040,2021-04-16,0,195,527.0,42,8,,primary
T7912,U115,2021-04-16,0,151,5195.0,55,7,,primary
T3571,U064,2024-10-05,0,42,3143.0,55,2,,primary
T10957,U081,2021-04-16,0,175,2135.0,42,7,,primary
T0294,U080,2021-04-16,0,67,2163.0,55,8,,primary
T9414,U149,2021-04-16,0,127,42078.0,55,6,,primary
T10537,U079,2021-04-16,0,67,2778.0,55,0,,primary
T1125,U105,2024-11-22,0,73,3929.0,38,10,,primary
T8978,U103,2021-04-16,1,69,23852.0,38,7,,primary
T5936,U022,2021-06-13,0,78,6856.0,49,2,,primary
T3751,U103,2024-05-31,1,11,49639.0,49,4,,primary
T0626,U122,2021-04-16,0,24,3150.0,18,2,,primary
T9500,U090,2022-06-07,0,73,9408.0,42,4,,primary
T1537,U056,2021-04-16,0,42,4114.0,55,3,,primary
T9185,U117,2021-04-16,1,11,14249.0,18,7,,primary
T7093,U096,2023-03-29,0,175,9681.0,55,3,,primary
T1990,U121,2021-04-16,0,175,3011.0,38,6,,primary
T4706,U150,2021-04-16,0,73,3150.0,55,5,,primary
T8416,U133,2021-04-16,1,11,32789.0,42,1,,primary
T11932,U100,2023-02-10,0,195,6704.0,55,8,,primary
T4683,U062,2022-08-27,0,175,4427.0,38,2,,primary
T10528,U071,2021-04-16,0,42,3121.0,18,9,,primary
T10806,U149,2021-04-16,0,67,3802.0,55,5,,primary
T10505,U099,2021-04-16,0,24,544.0,55,0,,primary
T13682,U145,2021-04-16,0,175,9053.0,49,7,,primary
T12807,U029,2021-06-05,1,69,32381.0,18,2,,primary
T6557,U007,2021-04-16,0,175,8305.0,55,9,,primary
T0409,U137,2021-02-08,0,195,8841.0,49,8,,primary
T10784,U022,2021-04-16,1,77,46219.0,38,7,,primary
T2457,U054,2021-04-16,0,175,2325.0,42,8,,primary
T12395,U062,2021-04-16,0,195,4451.0,18,8,,primary
T1882,U101,2021-04-16,0,24,9358.0,38,8,,primary
T13924,U035,2021-04-16,0,127,3569.0,42,5,,primary
T13453,U110,2024-11-05,0,127,2979.0,42,4,,primary
T9836,U058,2024-09-11,0,175,1863.0,18,4,,primary
T13845,U066,2021-04-16,0,127,34984.0,55,2,,primary
T11381,U107,2021-04-16,1,77,44031.0,18,4,,primary
T5758,U049,2021-04-16,0,127,21771.0,55,2,,primary
T12059,U077,2021-04-16,1,141,24920.0,55,2,,primary
T8889,U131,2021-04-16,0,151,8861.0,18,9,,primary
T10327,U136,2021-04-16,0,73,4201.0,18,6,,primary
T4967,U113,2022-02-17,0,127,47473.0,18,4,,primary
T11849,U040,2021-04-16,1,77,75822.0,42,8,,primary
T5167,U014,2021-04-16,0,67,677.0,18,8,,primary
T3952,U120,2021-04-16,0,127,43252.0,42,3,,primary
T5844,U086,2021-04-24,0,67,2615.0,38,7,,primary
T13040,U009,2021-04-16,0,67,2855.0,55,1,,primary
T3167,U145,2021-04-16,1,11,57358.0,42,3,,primary
T8867,U105,2021-04-16,0,78,6348.0,38,8,,primary
T5926,U016,2021-04-16,0,127,4583.0,18,10,,primary
T13662,U129,2021-04-16,0,113,4952.0,42,4,,primary
T13593,U018,2021-04-16,0,113,3941.0,18,8,,primary
T12216,U116,2021-04-16,1,113,47262.0,18,6,,primary
T8335,U001,2021-04-16,0,42,1998.0,55,7,,primary
T4933,U018,2021-04-16,0,67,8124.0,49,9,,primary
T7036,U105,2021-04-16,0,175,1326.0,38,10,,primary
T9072,U066,2021-04-16,0,151,4328.0,55,8,,primary
T8270,U081,2021-04-16,0,67,276.0,18,9,,primary
T12265,U094,2022-04-02,0,195,4215.0,38,4,,primary
T4637,U005,2021-04-16,0,195,6316.0,55,9,,primary
T9022,U089,2024-03-10,0,127,21376.0,55,2,,primary
T7016,U145,2021-01-09,0,195,7391.0,42,4,,primary
T12109,U144,2021-04-16,0,175,2990.0,55,8,,primary
T9952,U045,2022-12-24,0,195,2230.0,49,3,,primary
T13401,U064,2021-09-17,0,67,6197.0,55,10,,primary
T11100,U142,2021-04-16,0,67,6502.0,38,5,,primary
T4072,U067,2021-04-16,0,78,6902.0,38,3,,primary
T8303,U091,2021-04-16,0,67,2325.0,18,6,,primary
T9115,U060,2021-04-16,0,42,9939.0,18,9,,primary
T2668,U126,2021-04-16,0,127,1518.0,18,7,,primary
T1256,U035,2021-04-16,0,175,2985.0,42,3,,primary
T7219,U002,2024-06-28,0,24,3150.0,18,0,,primary
T7845,U014,2021-04-16,0,195,6671.0,55,0,,primary
T4986,U124,2023-07-04,0,175,1409.0,55,2,,primary
T1883,U047,2021-04-16,0,19,2497.0,18,6,,primary
T7034,U108,2021-04-16,0,195,6324.0,38,2,,primary
T11835,U125,2021-04-16,0,24,7315.0,18,5,,primary
T0231,U031,2021-04-16,0,195,7080.0,18,6,,primary
T2017,U090,2022-01-14,0,195,7821.0,42,9,,primary
T9479,U114,2021-08-14,0,127,988.0,55,10,,primary
T1312,U070,2021-04-16,1,69,23504.0,18,4,,primary
T0010,U017,2021-04-16,0,78,1064.0,42,0,,primary
T11433,U083,2021-04-16,0,67,2683.0,42,3,,primary
T4446,U017,2021-04-16,0,67,5022.0,42,4,,primary
T2782,U093,2021-04-01,0,67,7849.0,49,9,,primary
T11291,U040,2024-06-10,1,11,33565.0,42,4,,primary
T6224,U092,2021-04-16,1,141,66678.0,18,2,,primary
T4124,U119,2021-04-16,0,24,6304.0,55,9,,primary
T10115,U091,2021-04-16,1,69,50009.0,18,9,,primary
T3531,U134,2021-04-16,0,67,5811.0,18,9,,primary
T1066,U057,2023-02-05,0,42,7713.0,55,9,,primary
T9037,U142,2021-04-16,1,141,70693.0,42,0,,primary
T12498,U012,2021-04-16,0,73,2603.0,42,6,,primary
T6556,U037,2021-04-16,0,67,314.0,42,8,,primary
T4233,U089,2024-10-30,0,24,9806.0,18,2,,primary
T1925,U060,2023-02-04,0,67,3762.0,18,4,,primary
T9678,U092,2021-04-16,0,175,9891.0,55,10,,primary
T3468,U143,2021-04-16,0,73,6869.0,38,5,,primary
T2217,U113,2023-04-02,0,127,6756.0,18,9,,primary
T7901,U028,2021-09-07,0,42,356.0,18,5,,primary
T9324,U093,2021-10-03,1,113,20156.0,42,9,,primary
T6515,U121,2024-03-16,0,73,3790.0,38,0,,primary
T3401,U071,2021-04-16,0,78,6766.0,38,1,,primary
T2246,U061,2021-04-16,0,67,3765.0,18,2,,primary
T10375,U013,2023-08-06,1,69,2325.0,18,3,,primary
T7960,U028,2021-04-16,0,42,4638.0,38,10,,primary
T13793,U141,2021-04-16,1,69,11650.0,42,4,,primary
T7316,U144,2021-04-16,0,195,5790.0,49,9,,primary
T4875,U076,2021-04-16,0,127,12435.0,55,7,,primary
T1216,U042,2021-04-16,1,77,31183.0,18,5,,primary
T11898,U035,2023-04-13,0,67,775.0,55,10,,primary
T3071,U139,2021-04-16,0,42,8230.0,18,7,,primary
T12468,U043,2021-04-16,0,127,5582.0,55,0,,primary
T5511,U114,2021-04-16,0,67,5918.0,18,9,,primary
T5607,U093,2021-04-16,1,77,73830.0,55,9,,primary
T9770,U040,2021-04-16,0,127,23340.0,38,7,,primary
T11278,U009,2022-07-19,0,127,40813.0,55,3,,primary
T10427,U077,2024-12-31,0,195,3414.0,55,9,,primary
T1377,U044,2021-04-16,0,67,2033.0,55,8,,primary
T2469,U038,2021-04-16,1,11,44932.0,18,6,,primary
T6621,U104,2021-04-16,0,67,140759.86999999106,42,5,,primary
T7679,U079,2024-05-03,0,24,2274.0,42,4,,primary
T8635,U039,2021-04-16,0,175,330.0,18,2,,primary
T4874,U123,2024-12-30,0,175,8592.0,42,9,,primary
T3143,U025,2023-05-01,0,127,6779.0,42,3,,primary
T13475,U033,2021-04-16,1,77,29235.0,18,10,,primary
T8560,U023,2021-04-16,0,73,2143.0,38,3,,primary
T8417,U089,2022-05-17,0,67,4945.0,38,0,,primary
T8379,U106,2021-04-16,0,42,8152.0,55,3,,primary
T13913,U006,2021-04-16,0,113,7300.0,18,9,,primary
T11359,U135,2021-04-16,0,67,4603.0,18,0,,primary
T8916,U035,2022-10-13,0,42,4719.0,38,8,,primary
T5752,U112,2021-04-16,0,127,27792.0,18,9,,primary
T11316,U053,2021-04-16,0,175,6691.0,38,4,,primary
T4377,U065,2022-04-05,0,127,5935.0,18,4,,primary
T10191,U150,2021-04-16,0,175,9750.0,55,8,,primary
T10267,U128,2021-10-19,0,127,6484.0,55,5,,primary
T10019,U029,2021-04-16,0,42,2398.0,18,7,,primary
T1053,U081,2021-04-16,0,67,498.0,42,3,,primary
T2960,U124,2022-09-05,0,127,35588.0,42,5,,primary
T5402,U053,2021-11-02,1,113,13131.0,38,7,,primary
T1989,U027,2021-04-16,0,73,6321.0,42,0,,primary
T7284,U114,2021-04-16,0,127,28207.0,18,10,,primary
T11284,U125,2021-04-16,0,175,2325.0,38,2,,primary
T1195,U102,2021-04-16,0,127,10749.0,42,7,,primary
T6008,U053,2023-05-21,0,67,2232.0,49,9,,primary
T11465,U149,2021-04-16,0,151,8161.0,38,1,,primary
T8940,U088,2024-11-05,0,78,3825.0,42,1,,primary
T2577,U075,2022-07-13,0,195,4923.0,18,8,,primary
T6064,U104,2023-11-04,0,67,1078.0,18,3,,primary
T1619,U053,2021-04-16,1,77,74630.0,18,0,,primary
T1405,U109,2021-04-16,1,69,14180.0,42,8,,primary
T0352,U149,2021-04-16,0,195,8479.0,55,1,,primary
T5467,U104,2023-11-05,0,67,5292.0,18,4,,primary
T10397,U013,2021-04-16,0,175,3942.0,18,7,,primary
T3306,U065,2022-07-22,0,42,2325.0,18,3,,primary
T12923,U075,2021-04-16,0,42,8943.0,38,9,,primary
T2497,U149,2021-04-16,0,195,3159.0,38,3,,primary
T12309,U024,2021-04-16,0,127,12484.0,38,1,,primary
T6608,U081,2021-04-16,0,127,4331.0,42,4,,primary
T4870,U014,2024-10-04,0,127,9348.0,18,5,,primary
T12187,U060,2021-04-16,0,67,8174.0,18,9,,primary
T13685,U047,2021-08-03,1,77,74243.0,42,5,,primary
T6605,U124,2023-10-17,0,67,8640.0,42,5,,primary
T3940,U085,2021-06-25,0,67,9784.0,38,5,,primary
T12289,U001,2021-04-16,0,127,45093.0,38,9,,primary
T12849,U049,2021-04-16,0,67,2130.0,55,7,,primary
T6257,U036,2023-02-21,0,67,4816.0,55,9,,primary
T3936,U039,2021-04-16,0,67,2247.0,38,2,,primary
T10279,U087,2021-03-13,1,69,46587.0,38,7,,primary
T11375,U060,2021-04-16,0,42,6699.0,42,7,,primary
T2772,U093,2021-04-16,0,175,3345.0,18,10,,primary
T0177,U038,2022-06-13,0,113,6610.0,42,9,,primary
T3986,U077,2024-12-20,0,175,4692.0,55,5,,primary
T3810,U004,2021-04-16,0,24,5305.0,18,2,,primary
T7155,U060,2021-04-16,1,11,67675.0,18,1,,primary
T8163,U016,2021-03-29,0,42,7845.0,42,3,,primary
T7044,U049,2021-04-16,0,42,7183.0,42,10,,primary
T3840,U144,2022-08-23,0,195,6908.0,38,1,,primary
T3774,U020,2023-09-08,0,127,47146.0,38,3,,primary
T3961,U111,2024-07-15,0,73,5749.0,42,9,,primary
T13582,U133,2021-04-16,0,42,5542.0,38,6,,primary
T11104,U121,2021-04-16,0,175,3429.0,38,8,,primary
T8714,U065,2021-06-23,0,42,237.0,18,5,,primary
T2709,U138,2021-04-16,0,151,8231.0,55,2,,primary
T2156,U018,2021-04-16,0,195,9859.0,55,6,,primary
T8551,U065,2024-03-20,0,195,2288.0,55,6,,primary
T10622,U030,2022-01-26,0,175,5756.0,18,4,,primary
T9673,U145,2021-04-16,0,127,28183.0,55,3,,primary
T8967,U125,2021-04-16,1,113,41720.0,18,9,,primary
T11141,U098,2021-04-16,0,127,7335.0,18,2,,primary
T4430,U147,2024-10-04,0,127,287.0,38,4,,primary
T11810,U060,2021-04-16,1,113,57828.0,55,0,,primary
T10574,U061,2021-10-28,0,24,9601.0,49,6,,primary
T9406,U131,2021-04-16,0,42,2186.0,38,1,,primary
T2288,U143,2021-04-16,0,42,8093.0,38,7,,primary
T1733,U080,2021-04-16,0,175,2272.0,18,4,,primary
T13220,U140,2021-04-16,0,67,4549.0,42,2,,primary
T9379,U106,2021-11-26,0,127,21603.0,42,5,,primary
T0617,U046,2021-01-22,0,67,1641.0,42,6,,primary
T13759,U109,2021-04-16,0,24,7941.0,55,2,,primary
T0147,U114,2021-04-16,0,175,7135.0,42,7,,primary
T4332,U089,2021-04-16,0,67,4265.0,55,4,,primary
T12052,U046,2021-04-16,0,151,8634.0,18,7,,primary
T4585,U003,2024-05-21,0,42,1006.0,55,4,,primary
T0859,U132,2021-04-16,0,175,475.0,18,3,,primary
T6964,U028,2021-04-16,0,151,2325.0,42,3,,primary
T5011,U129,2022-07-16,0,175,6799.0,38,1,,primary
T13370,U046,2021-09-23,0,73,2325.0,38,3,,primary
T1330,U108,2022-03-21,0,127,1564.0,49,10,,primary
T4361,U008,2021-04-16,0,24,2325.0,18,0,,primary
T7760,U089,2024-05-11,0,127,46614.0,18,7,,primary
T7501,U047,2021-04-16,0,67,4005.0,42,6,,primary
T13770,U147,2021-04-16,0,67,651.0,18,2,,primary
T10853,U083,2023-04-28,0,175,4601.0,55,9,,primary
T5130,U075,2021-09-10,0,127,46896.0,55,3,,primary
T12558,U124,2021-04-16,0,127,2325.0,42,2,,primary
T4248,U058,2022-03-21,1,141,78532.0,18,6,,primary
T5305,U046,2021-04-16,1,11,140759.86999999106,18,9,,primary
T6784,U022,2021-01-12,0,67,8687.0,49,1,,primary
T1468,U139,2022-12-07,1,69,57170.0,55,3,,primary
T5253,U075,2021-08-07,0,67,7235.0,38,1,,primary
T6241,U037,2021-04-16,0,175,9675.0,42,8,,primary
T4458,U075,2021-04-16,0,67,4895.0,55,0,,primary
T4529,U064,2024-01-31,1,11,21355.0,18,5,,primary
T5154,U072,2021-04-16,1,113,13183.0,55,2,,primary
T10901,U086,2022-07-12,0,175,9364.0,55,3,,primary
T12719,U019,2021-05-18,0,67,5042.0,42,5,,primary
T6988,U044,2021-04-16,0,127,2824.0,55,0,,primary
T2128,U126,2023-10-18,0,73,9979.0,55,4,,primary
T1182,U023,2024-09-20,0,73,8548.0,49,1,,primary
T4182,U117,2021-04-16,0,67,700.0,18,9,,primary
T4082,U138,2021-04-16,0,67,6556.0,55,8,,primary
T8735,U023,2023-07-12,0,67,2325.0,38,4,,primary
T8123,U020,2023-05-15,0,127,5988.0,18,8,,primary
T7895,U117,2024-08-23,0,195,6348.0,38,2,,primary
T8735_D1,U113,2021-05-15,0,127,5549.0,55,10,,primary
T10792,U053,2022-07-15,0,127,44898.0,42,2,,primary
T8838,U010,2021-04-16,0,127,3221.0,55,3,,primary
T1044,U075,2021-05-06,0,67,1810.0,38,6,,primary
T8602,U097,2021-04-16,0,127,9944.0,55,3,,primary
T7931,U085,2021-04-16,0,175,1037.0,42,1,,primary
T13820,U148,2021-04-16,0,195,6278.0,18,4,,primary
T0241,U148,2021-04-16,0,175,2963.0,55,10,,primary
T9531,U149,2021-04-16,0,195,999.0,42,2,,primary
T1003,U064,2021-04-16,1,77,43737.0,55,7,,primary
T5549,U114,2021-01-30,0,127,45894.0,18,8,,primary
T13844,U006,2024-05-29,0,175,7040.0,55,5,,primary
T9591,U034,2021-04-16,0,42,5011.0,55,10,,primary
T5042,U008,2021-04-16,0,175,2082.0,42,3,,primary
T6831,U145,2021-04-16,1,69,43378.0,55,10,,primary
T0131,U108,2021-04-16,0,42,4167.0,42,9,,primary
T3349,U130,2022-08-02,0,195,6260.0,38,8,,primary
T5111,U051,2021-04-16,0,127,747.0,38,2,,primary
T2986,U127,2021-04-16,0,175,3645.0,49,7,,primary
T3113,U079,2023-03-17,0,73,5958.0,18,8,,primary
T5430,U061,2021-04-16,1,77,49098.0,42,2,,primary
T13440,U062,2021-04-16,0,175,3833.0,38,4,,primary
T1572,U097,2024-06-02,0,24,2715.0,38,0,,primary
T13022,U105,2023-04-22,0,195,9245.0,18,0,,primary
T3628,U116,2024-12-07,0,127,12316.0,42,5,,primary
T7622,U124,2021-04-16,0,42,2561.0,18,10,,primary
T5287,U129,2024-04-11,0,42,6832.0,42,5,,primary
T6525,U061,2021-04-23,0,127,9714.0,42,3,,primary
T11583,U036,2024-10-20,1,11,73654.0,38,8,,primary
T5046,U123,2021-04-16,0,127,5622.0,18,5,,primary
T11781,U065,2021-04-16,0,73,2325.0,38,3,,primary
T9393,U030,2021-04-16,0,175,7748.0,38,1,,primary
T1258,U106,2022-11-14,0,127,4981.0,49,5,,primary
T0928,U102,2021-04-16,0,67,301.0,38,4,,primary
T6037,U009,2021-04-16,0,67,3830.0,38,10,,primary
T12742,U139,2021-04-16,0,175,2985.0,55,6,,primary
T7198,U069,2021-04-16,1,113,79870.0,55,9,,primary
T2353,U082,2021-04-16,0,67,4426.0,18,10,,primary
T7335,U024,2021-04-16,0,42,3640.0,55,3,,primary
T11646,U122,2021-04-16,0,175,1583.0,38,0,,primary
T7798,U040,2023-10-09,0,195,9476.0,55,1,,primary
T3213,U148,2021-04-16,0,175,7070.0,55,4,,primary
T10710,U006,2021-04-16,0,175,7174.0,55,2,,primary
T0922,U086,2022-12-12,0,42,3159.0,18,0,,primary
T13698,U094,2021-04-16,0,195,7296.0,18,3,,primary
T5592,U028,2021-04-16,0,73,1606.0,55,7,,primary
T2671,U058,2021-04-16,0,127,9434.0,55,7,,primary
T6020,U092,2022-08-03,0,67,3280.0,18,5,,primary
T10398,U069,2022-10-06,1,77,2325.0,42,10,,primary
T9004,U011,2021-04-16,0,19,886.0,42,0,,primary
T7005,U026,2022-11-20,0,127,7109.0,18,3,,primary
T12998,U146,2021-04-16,0,42,4201.0,42,5,,primary
T3988,U129,2021-04-16,0,67,655.0,18,4,,primary
T5319,U037,2023-03-10,1,78,61598.0,42,2,,primary
T3862,U042,2021-04-16,1,77,44066.0,42,6,,primary
T5165,U126,2024-12-12,1,113,140759.86999999106,55,3,,primary
T4714,U112,2021-04-16,0,127,46284.0,55,0,,primary
T4195,U097,2021-04-16,1,11,140759.86999999106,38,7,,primary
T11757,U068,2024-09-21,0,67,2044.0,18,9,,primary
T10285,U040,2021-04-16,0,151,5277.0,55,6,,primary
T10345,U058,2021-07-25,0,127,2325.0,55,6,,primary
T8961,U043,2021-05-19,0,175,1115.0,38,1,,primary
T0428,U006,2021-10-09,0,67,2017.0,18,1,,primary
T9117,U119,2021-04-16,0,24,2053.0,18,2,,primary
T9348,U007,2021-04-16,0,42,8839.0,42,2,,primary
T3503,U017,2021-04-16,0,42,9635.0,42,7,,primary
T11648,U132,2021-04-16,1,141,56581.0,18,8,,primary
T0481,U108,2023-07-17,0,195,392.0,18,9,,primary
T0341,U063,2021-04-16,0,151,6027.0,18,7,,primary
T2248,U048,2021-04-16,0,127,26916.0,42,6,,primary
T3455,U150,2021-04-16,0,67,994.0,49,6,,primary
T12178,U072,2021-04-16,1,141,63125.0,42,2,,primary
T4186,U002,2021-04-16,0,67,175.0,18,2,,primary
T9132,U067,2022-08-10,1,69,24394.0,55,3,,primary
T2400,U126,2021-04-16,1,77,67910.0,42,3,,primary
T8437,U143,2021-04-16,0,19,9531.0,55,7,,primary
T8881,U090,2022-11-05,0,195,7838.0,55,1,,primary
T10071,U043,2021-04-16,0,67,2511.0,38,2,,primary
T13867,U026,2023-09-11,0,151,7734.0,42,10,,primary
T13196,U061,2021-04-16,0,127,1461.0,55,5,,primary
T5099,U008,2021-04-16,0,19,2398.0,18,2,,primary
T1027,U011,2021-04-16,1,69,33170.0,38,6,,primary
T2238,U023,2023-09-24,0,175,7858.0,49,6,,primary
T12671,U139,2024-10-30,0,67,3913.0,38,4,,primary
T4155,U042,2022-12-09,0,175,5279.0,42,5,,primary
T8170,U148,2021-04-16,0,151,4694.0,55,0,,primary
T11558,U012,2021-04-16,0,67,2060.0,55,4,,primary
T11219,U135,2021-11-12,0,127,32436.0,38,10,,primary
T13688,U003,2024-12-01,0,67,7717.0,49,7,,primary
T12772,U145,2021-04-16,1,113,42921.0,42,8,,primary
T13289,U072,2021-04-16,0,67,3021.0,18,0,,primary
T9714,U092,2022-12-25,0,67,2325.0,38,2,,primary
T6767,U099,2024-08-03,0,67,1574.0,38,3,,primary
T12720,U031,2024-10-30,0,78,6879.0,42,7,,primary
T0721,U005,2021-04-16,0,127,5599.0,18,1,,primary
T3212,U143,2021-04-16,0,42,4374.0,18,4,,primary
T8580,U118,2024-01-10,0,175,552.0,38,3,,primary
T11720,U080,2021-04-16,0,195,1686.0,49,2,,primary
T8316,U116,2021-05-22,1,77,30473.0,18,3,,primary
T2817,U104,2021-04-16,0,195,3325.0,55,6,,primary
T9620,U088,2021-04-16,0,127,46991.0,55,7,,primary
T1400,U066,2021-04-16,0,175,5535.0,38,5,,primary
T2220,U092,2021-04-16,0,127,33228.0,55,5,,primary
T9269,U093,2021-04-16,0,127,140759.86999999106,18,1,,primary
T6710,U008,2021-04-16,1,69,44802.0,38,7,,primary
T7206,U142,2021-04-16,0,127,9188.0,38,0,,primary
T7386,U054,2021-04-16,0,24,8716.0,18,9,,primary
T0019,U011,2021-04-16,0,24,9273.0,38,1,,primary
T13011,U031,2023-06-28,0,127,39845.0,42,3,,primary
T5686,U139,2021-04-16,1,141,18231.0,55,3,,primary
T13942,U125,2021-04-16,0,67,9636.0,42,8,,primary
T10500,U042,2021-04-16,0,24,7121.0,42,2,,primary
T1516,U076,2021-04-16,0,73,5447.0,55,8,,primary
T4498,U109,2024-10-26,0,113,2163.0,38,2,,primary
